JP,EN,trial,ratio,n_ok
P49,2021/07/02,0,0,0
P49,2021/07/02,0,0,0
P49,2021/07/02,0,0,0
P49,2021/07/02,0,0,0
P49,2021/07/02,0,0,0
P49,2021/07/03,0,0,0
P49,2021/07/03,0,0,0
P49,2021/07/03,0,0,0
P49,2021/07/03,0,0,0
P49,2021/07/03,0,0,0
P49,2021/07/03,0,0,0
P49,2021/07/03,0,0,0
P49,2021/07/03,0,0,0
P49,2021/07/03,0,0,0
P49,2021/07/03,0,0,0
P49,2021/07/03,0,0,0
P49,2021/07/03,0,0,0
P50,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P51,2021/07/03,0,0,0
P52,2021/07/03,0,0,0
P52,2021/07/03,0,0,0
P52,2021/07/03,0,0,0
P52,2021/07/03,0,0,0
P52,2021/07/03,0,0,0
P53,2021/07/03,0,0,0
P53,2021/07/03,0,0,0
P53,2021/07/03,0,0,0
P53,2021/07/03,0,0,0
P53,2021/07/03,0,0,0
P53,2021/07/03,0,0,0
P54,2021/07/03,0,0,0
P54,2021/07/03,0,0,0
P54,2021/07/03,0,0,0
P54,2021/07/03,0,0,0
P54,2021/07/03,0,0,0
P54,2021/07/03,0,0,0
P54,2021/07/03,0,0,0
P54,2021/07/03,0,0,0
P69,2021/07/04,0,0,0
P69,2021/07/04,0,0,0
P69,2021/07/04,0,0,0
P69,2021/07/04,0,0,0
P69,2021/07/04,0,0,0
P69,2021/07/04,0,0,0
P69,2021/07/04,0,0,0
P69,2021/07/04,0,0,0
P69,2021/07/04,0,0,0
P70,2021/07/04,0,0,0
P70,2021/07/04,0,0,0
P70,2021/07/04,0,0,0
P70,2021/07/04,0,0,0
P70,2021/07/04,0,0,0
P70,2021/07/04,0,0,0
P70,2021/07/04,0,0,0
P70,2021/07/04,0,0,0
P70,2021/07/04,0,0,0
P70,2021/07/04,0,0,0
P70,2021/07/04,0,0,0
P71,2021/07/04,0,0,0
P71,2021/07/04,0,0,0
P71,2021/07/04,0,0,0
P71,2021/07/05,0,0,0
P71,2021/07/05,0,0,0
